Lesson_ID,Pre_Lesson_ID
LS477,LS206
LS477,LS210
LS477,LS211
LS477,LS212
LS477,LS213
LS477,LS215
LS477,LS216
LS477,LS217
LS477,LS218
LS477,LS219
LS477,LS220
LS477,LS221
