Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category
LS558,"/ed/ , /d/ /s/,/es/,/t/,/d/",Link,Link,1,Pronunciation
LS559,Individual Sounds,Link,Link,1,Pronunciation
LS560,Word Stress,Link,Link,1,Pronunciation
LS561,Sentence Stress,Link,Link,1,Pronunciation
LS562,Linking Sounds and Words,Link,Link,1,Pronunciation
LS563,Chunking,Link,Link,1,Pronunciation
LS564,Notes when practicing pronunciation,Link,Link,1,Pronunciation
