Level_ID,PRE_LEVEL_ID
LV2,LV1
LV3,LV2
LV4,LV3
LV5,LV4
LV7,LV6
LV8,LV7
LV9,LV8
LV10,LV9
LV12,LV11
LV13,LV12
LV14,LV13
LV15,LV14
LV16,LV15
LV18,LV17
LV19,LV18
LV20,LV19
LV21,LV20
LV22,LV21
