passive_count,modal_count,conditional_type_2,avg_sentence_len,level
0.05263157894736842,0.016877637130801686,0,24.94736842105263,B2
0.12903225806451613,0.011976047904191617,0,21.548387096774192,B2
0.07142857142857142,0.0,0,16.857142857142858,B2
0.17647058823529413,0.013333333333333334,0,17.647058823529413,B2
0.15,0.022284122562674095,0,17.95,B2
0.16666666666666666,0.04067796610169491,0,16.38888888888889,B2
0.10526315789473684,0.007352941176470588,0,17.894736842105264,B2
0.05,0.0033112582781456954,0,15.1,B2
0.0,0.004545454545454545,0,14.666666666666666,B2
0.1,0.012121212121212121,0,16.5,B2
0.037037037037037035,0.014705882352941176,0,12.592592592592593,B2
0.23809523809523808,0.026570048309178744,0,19.714285714285715,B2
0.1346153846153846,0.006045949214026602,0,15.903846153846153,B2
0.09523809523809523,0.015384615384615385,0,15.476190476190476,B2
0.5882352941176471,0.014134275618374558,0,16.647058823529413,B2
0.07142857142857142,0.011553273427471117,0,18.547619047619047,B2
0.047619047619047616,0.003246753246753247,0,14.666666666666666,B2
0.0625,0.019736842105263157,0,19.0,B2
0.10344827586206896,0.006024096385542169,0,17.17241379310345,B2
0.19230769230769232,0.0,0,14.346153846153847,B2
0.15789473684210525,0.014705882352941176,0,14.31578947368421,B2
0.3,0.010238907849829351,0,14.65,B2
0.0,0.0035971223021582736,0,18.533333333333335,B2
0.0,0.036923076923076927,0,12.037037037037036,B2
0.14285714285714285,0.013157894736842105,0,32.57142857142857,B2
0.15151515151515152,0.010954616588419406,0,19.363636363636363,B2
0.02702702702702703,0.011188811188811189,0,19.324324324324323,B2
0.14814814814814814,0.004555808656036446,0,16.25925925925926,B2
0.35294117647058826,0.00625,0,18.823529411764707,B2
0.06666666666666667,0.0,0,9.9,B2
0.1,0.0032258064516129032,0,15.5,B2
0.043478260869565216,0.003289473684210526,0,13.217391304347826,B2
0.05555555555555555,0.0,0,12.944444444444445,B2
0.18181818181818182,0.0033112582781456954,0,13.727272727272727,B2
0.23076923076923078,0.003246753246753247,0,11.846153846153847,B2
0.0,0.01358695652173913,0,19.36842105263158,B2
0.08928571428571429,0.00715307582260372,0,12.482142857142858,B2
0.10526315789473684,0.0,0,14.210526315789474,B2
0.02564102564102564,0.010626992561105207,0,24.128205128205128,B2
0.23404255319148937,0.023162134944612285,0,21.127659574468087,B2
0.02564102564102564,0.0052173913043478265,0,14.743589743589743,B2
0.09090909090909091,0.0,0,12.590909090909092,B2
0.0,0.007712082262210797,0,14.407407407407407,B2
0.06896551724137931,0.01171875,0,17.655172413793103,B2
0.0,0.004357298474945534,0,22.95,B2
0.3,0.004608294930875576,0,21.7,B2
0.08333333333333333,0.0,0,12.375,B2
0.11764705882352941,0.0,0,17.529411764705884,B2
0.1,0.007453416149068323,0,20.125,B2
